call_id,caller_phone,callee_phone,call_time,duration_sec,call_type,sub_network,is_international
CDR0001,PH003,PH004,2025-11-01 23:10:15,120,VOICE,SN-A,FALSE
CDR0002,PH003,PH004,2025-11-02 23:12:15,135,VOICE,SN-A,FALSE
CDR0003,PH003,PH004,2025-11-03 23:14:15,150,VOICE,SN-A,FALSE
CDR0004,PH003,PH004,2025-11-04 23:16:15,165,VOICE,SN-A,FALSE
CDR0005,PH003,PH004,2025-11-05 23:18:15,180,VOICE,SN-A,FALSE
CDR0006,PH003,PH004,2025-11-06 23:20:15,195,VOICE,SN-A,FALSE
CDR0007,PH003,PH004,2025-11-07 23:22:15,210,VOICE,SN-A,FALSE
CDR0008,PH003,PH004,2025-11-08 23:24:15,225,VOICE,SN-A,FALSE
CDR0009,PH003,PH004,2025-11-09 23:26:15,240,VOICE,SN-A,FALSE
CDR0010,PH003,PH004,2025-11-10 23:28:15,255,VOICE,SN-A,FALSE
CDR0011,PH003,PH004,2025-11-11 23:30:15,270,VOICE,SN-A,FALSE
CDR0012,PH003,PH004,2025-11-12 23:32:15,285,VOICE,SN-A,FALSE
CDR0013,PH003,PH004,2025-11-13 23:34:15,120,VOICE,SN-A,FALSE
CDR0014,PH003,PH004,2025-11-14 23:36:15,135,VOICE,SN-A,FALSE
CDR0015,PH003,PH004,2025-11-15 23:38:15,150,VOICE,SN-A,FALSE
CDR0016,PH003,PH004,2025-11-16 23:40:15,165,VOICE,SN-A,FALSE
CDR0017,PH003,PH004,2025-11-17 23:42:15,180,VOICE,SN-A,FALSE
CDR0018,PH003,PH004,2025-11-18 23:44:15,195,VOICE,SN-A,FALSE
CDR0019,PH003,PH005,2025-11-05 11:05:20,90,VOICE,SN-A,FALSE
CDR0020,PH004,PH005,2025-11-06 11:08:20,100,VOICE,SN-B,FALSE
CDR0021,PH003,PH005,2025-11-07 11:11:20,110,VOICE,SN-A,FALSE
CDR0022,PH004,PH005,2025-11-08 11:14:20,120,VOICE,SN-B,FALSE
CDR0023,PH003,PH005,2025-11-09 11:17:20,130,VOICE,SN-A,FALSE
CDR0024,PH004,PH005,2025-11-10 11:20:20,140,VOICE,SN-B,FALSE
CDR0025,PH003,PH005,2025-11-11 11:23:20,150,VOICE,SN-A,FALSE
CDR0026,PH004,PH005,2025-11-12 11:26:20,160,VOICE,SN-B,FALSE
CDR0027,PH003,PH005,2025-11-13 11:29:20,170,VOICE,SN-A,FALSE
CDR0028,PH004,PH005,2025-11-14 11:32:20,180,VOICE,SN-B,FALSE
CDR0029,PH003,PH005,2025-11-15 11:35:20,190,VOICE,SN-A,FALSE
CDR0030,PH004,PH005,2025-11-16 11:38:20,200,VOICE,SN-B,FALSE
CDR0031,PH003,PH005,2025-11-17 11:41:20,210,VOICE,SN-A,FALSE
CDR0032,PH004,PH005,2025-11-18 11:44:20,220,VOICE,SN-B,FALSE
CDR0033,PH003,PH005,2025-11-19 11:07:20,230,VOICE,SN-A,FALSE
CDR0034,PH004,PH005,2025-11-20 11:10:20,90,VOICE,SN-B,FALSE
CDR0035,PH001,PH002,2025-11-22 10:15:00,300,VOICE,SN-A,FALSE
CDR0036,PH001,PH002,2025-11-23 10:20:00,360,VOICE,SN-A,FALSE
CDR0037,PH001,PH002,2025-11-24 10:25:00,420,VOICE,SN-A,FALSE
CDR0038,PH001,PH002,2025-11-25 10:30:00,480,VOICE,SN-A,FALSE
CDR0039,PH001,PH002,2025-11-26 10:35:00,540,VOICE,SN-A,FALSE
CDR0040,PH001,PH002,2025-11-27 10:40:00,600,VOICE,SN-A,FALSE
CDR0041,PH004,+971501234567,2025-11-28 23:30:00,420,VOICE,SN-B,TRUE
CDR0042,+971501234567,PH004,2025-11-29 02:15:00,180,VOICE,SN-B,TRUE
CDR0043,PH003,PH004,2025-12-04 14:02:15,65,VOICE,SN-A,FALSE
CDR0044,PH004,PH005,2025-12-04 14:10:15,117,VOICE,SN-B,FALSE
CDR0045,PH005,PH003,2025-12-04 14:18:15,83,VOICE,SN-A,FALSE
CDR0046,PH003,PH004,2025-12-04 14:26:15,80,VOICE,SN-A,FALSE
CDR0047,PH004,PH005,2025-12-04 14:34:15,138,VOICE,SN-B,FALSE
CDR0048,PH005,PH003,2025-12-04 14:42:15,95,VOICE,SN-A,FALSE
CDR0049,PH003,PH004,2025-12-04 14:50:15,95,VOICE,SN-A,FALSE
CDR0050,PH004,PH005,2025-12-04 14:58:15,159,VOICE,SN-B,FALSE
CDR0051,PH005,PH003,2025-12-04 15:06:15,107,VOICE,SN-A,FALSE
CDR0052,PH003,PH004,2025-12-04 15:14:15,110,VOICE,SN-A,FALSE
CDR0053,PH004,PH005,2025-12-04 15:22:15,180,VOICE,SN-B,FALSE
CDR0054,PH005,PH003,2025-12-04 15:30:15,119,VOICE,SN-A,FALSE
CDR0055,PH003,PH004,2025-12-04 15:38:15,125,VOICE,SN-A,FALSE
CDR0056,PH004,PH005,2025-12-04 15:46:15,111,VOICE,SN-B,FALSE
CDR0057,PH005,PH003,2025-12-04 15:54:15,131,VOICE,SN-A,FALSE
CDR0058,PH003,PH004,2025-12-04 16:02:15,140,VOICE,SN-A,FALSE
