location_id,location_name,city,state,country,latitude,longitude,location_type,linked_entity_ids,sub_network,event_count,notes
LOC001,Greater Kailash Victim Residence,New Delhi,Delhi,India,28.6139,77.2090,CRIME_SCENE,P001;PH001,SN-A,5,Residence of 82-year-old victim where digital arrest fraud was perpetrated under psychological duress
LOC002,Prabhakar Kumar Residence and Apprehension Site,Nalanda,Bihar,India,25.1357,85.4430,RESIDENCE,P002;A002;SIM001,SN-A,4,Residence and arrest location of accused Prabhakar Kumar coordinating digital arrest calls
LOC003,Rupesh Kumar Singh Residence and Safehouse,Vaishali,Bihar,India,25.6802,85.5227,RESIDENCE,P003;A003;PH002,SN-A,3,Residence and arrest location of accused Rupesh Kumar Singh; forged police credentials recovered
LOC004,Manav Kalyan Trust NGO Headquarters,Sirmaur,Himachal Pradesh,India,30.5688,77.2950,OPERATIONAL_BASE,P004;O001;A001,SN-A,34,Registered office of shell NGO operated by accused Dev Raj; received Rs 1.10 Cr from victim and Rs 24 Cr across 32 NCRP complaints
LOC005,Dwarka Sector 12 Hotel Operation Center,New Delhi,Delhi,India,28.5921,77.0460,RAID_SITE,P008;P009;P010;P011;P012;A006;CW001,SN-C,12,Dwarka hotel raid site on 26 Nov 2025 by IFSO; 9 accused arrested across three tiers; laptops and SIM boxes seized
LOC006,Patna Kankarbagh Coordination Safehouse,Patna,Bihar,India,25.6117,85.1446,ARREST_LOCATION,P013;P014;A007;PH004,SN-C,6,Middleman aggregation and arrest site connecting eastern India mule account recruiters to Dwarka syndicate
LOC007,Delhi Police Crime Branch Cyber Cell HQ,New Delhi,Delhi,India,28.6353,77.2250,OPERATIONAL_BASE,P001;P002;P003;P004;P008;P009;P010,ALL,45,"Central investigation command, FIR registration, forensic data processing, and custodial interrogation facility"
LOC008,Rohini Student Mules Residence,New Delhi,Delhi,India,28.7041,77.1025,RESIDENCE,P005;P006;SIM002;SIM003,SN-B,5,Residence of 19-year-old accused student mules recruited under National Cyber Crime Investigation Corpus to open bank accounts and procure SIMs
LOC009,Tilak Nagar Cash Rendezvous Point,New Delhi,Delhi,India,28.6366,77.0963,OPERATIONAL_BASE,P007;A004;A005;PH003,SN-B,7,Commercial cash withdrawal and collection node utilized by absconding beneficiary Rahul alias Happy
LOC010,State Bank of India Nahan Branch,Sirmaur,Himachal Pradesh,India,30.5599,77.2965,BANK_BRANCH,O001;A001;P004,SN-A,18,Bank branch holding shell NGO illustrative current account A001 flagged with 32 separate NCRP cyber fraud complaints
LOC011,HDFC Bank Connaught Place Branch,New Delhi,Delhi,India,28.6315,77.2167,BANK_BRANCH,A006;P011;O002,SN-C,22,Commercial branch hosting corporate mule account A006 logging 10000+ transactions worth Rs 5.24 Cr in 5 days
LOC012,Jaipur Tech Operations Node,Jaipur,Rajasthan,India,26.9124,75.7873,ARREST_LOCATION,P015;A008;PH005,SN-C,4,Safehouse and arrest site of tech operator managing crypto conversion gateways and payment proxy APIs
LOC013,Chandni Chowk Hawala Clearing Center,Old Delhi,Delhi,India,28.6506,77.2303,OPERATIONAL_BASE,P016;O003;A009,SN-C,9,Traditional informal cash pooling hub where physical cash was aggregated for overseas hawala routing
LOC014,Dubai Deira Hawala Conduit,Dubai,Dubai,United Arab Emirates,25.2048,55.2708,OPERATIONAL_BASE,P016;O003;CW001,SN-C,8,Transnational hawala clearing nexus routing layered funds from Delhi shell accounts into offshore business entities
LOC015,Bangkok Crypto Exchange Layering Node,Bangkok,Bangkok,Thailand,13.7563,100.5018,OPERATIONAL_BASE,CW001;CW002;P012,SN-C,14,Offshore USDT OTC crypto conversion desk routing syndicate proceeds to Southeast Asian digital asset exchanges
LOC100,Gurgaon NCIC Safehouse 1,Gurgaon,Haryana,India,28.503080693493676,77.01684793548606,OPERATIONAL_BASE,P1001;P1002;P1003;P1011;P1013;P1018;P1024;P1030;P1048;P1050;P1064;P1067;P1070;P1093;P1097;P1103;P1105;P1107;P1114;P1124;P1131;P1139;P1150;P1174;P1175;P1180;P1185;P1189;P1195;P1198;P1201;P1215;P1219;P1224;P1227;P1235;P1251;P1252;P1254;P1264;P1270;P1273;P1283;P1294;P1306;P1319;P1327;P1334;P1346;P1347;P1355;P1360;P1367;P1371;P1377;P1379;P1392;P1395;P1396;P1399;P1401;P1403;P1404;P1415;P1420;P1422;P1427;P1428;P1431;P1432;P1440;P1442;P1468;P1470;P1472;P1476;P1480;P1485;P1493;P1508;P1511;P1513;P1526;P1527;P1531;P1534;P1545;P1553;P1566;P1567;P1570;P1585;P1592;P1601;P1605;P1610;P1611;P1613;P1620;P1628,SN-D,200,1000 Crore NCIC Bust Location
LOC101,Gurgaon NCIC Safehouse 2,Gurgaon,Haryana,India,28.489640645125945,77.04911174358443,OPERATIONAL_BASE,P1631;P1635;P1641;P1649;P1653;P1657;P1674;P1684;P1699;P1707;P1709;P1710;P1721;P1733;P1750;P1751;P1754;P1768;P1771;P1774;P1777;P1784;P1807;P1814;P1837;P1838;P1844;P1846;P1854;P1855;P1861;P1862;P1867;P1874;P1875;P1877,SN-D,72,1000 Crore NCIC Bust Location
LOC102,Noida NCIC Safehouse 1,Noida,UP,India,28.57175590994791,77.37872228982914,OPERATIONAL_BASE,P1004;P1005;P1012;P1017;P1025;P1031;P1032;P1034;P1036;P1041;P1045;P1061;P1069;P1074;P1076;P1096;P1112;P1115;P1117;P1120;P1128;P1141;P1143;P1152;P1157;P1159;P1161;P1165;P1167;P1169;P1173;P1179;P1181;P1187;P1192;P1200;P1203;P1205;P1212;P1230;P1237;P1253;P1255;P1258;P1263;P1267;P1269;P1297;P1305;P1311;P1313;P1318;P1326;P1329;P1335;P1338;P1348;P1353;P1363;P1372;P1381;P1385;P1394;P1397;P1406;P1408;P1421;P1423;P1429;P1438;P1444;P1446;P1448;P1450;P1454;P1475;P1490;P1502;P1518;P1520;P1525;P1546;P1548;P1559;P1560;P1565;P1573;P1580;P1586;P1591;P1596;P1597;P1633;P1645;P1651;P1656;P1659;P1662;P1664;P1666,SN-D,200,1000 Crore NCIC Bust Location
LOC103,Noida NCIC Safehouse 2,Noida,UP,India,28.532415984996977,77.42838092623586,OPERATIONAL_BASE,P1667;P1677;P1681;P1682;P1689;P1697;P1698;P1704;P1716;P1731;P1732;P1737;P1740;P1742;P1746;P1748;P1752;P1770;P1780;P1788;P1793;P1797;P1818;P1831;P1839;P1840;P1848;P1853;P1870;P1871;P1876,SN-D,62,1000 Crore NCIC Bust Location
LOC104,Mumbai NCIC Safehouse 1,Mumbai,Maharashtra,India,19.07523808332556,72.83944040769775,OPERATIONAL_BASE,P1006;P1007;P1008;P1014;P1019;P1033;P1044;P1053;P1055;P1056;P1062;P1063;P1065;P1066;P1072;P1078;P1081;P1084;P1087;P1088;P1091;P1100;P1113;P1130;P1138;P1142;P1155;P1164;P1172;P1176;P1177;P1196;P1204;P1211;P1214;P1222;P1225;P1226;P1231;P1239;P1244;P1250;P1256;P1260;P1262;P1265;P1275;P1284;P1291;P1292;P1298;P1312;P1317;P1323;P1331;P1340;P1357;P1359;P1370;P1378;P1388;P1390;P1405;P1425;P1430;P1437;P1439;P1445;P1453;P1459;P1460;P1463;P1466;P1467;P1483;P1495;P1504;P1505;P1507;P1509;P1510;P1523;P1524;P1535;P1541;P1551;P1554;P1558;P1574;P1587;P1595;P1599;P1612;P1619;P1624;P1629;P1630;P1632;P1661;P1669,SN-D,200,1000 Crore NCIC Bust Location
LOC105,Mumbai NCIC Safehouse 2,Mumbai,Maharashtra,India,19.051512362284956,72.87238602964855,OPERATIONAL_BASE,P1672;P1675;P1676;P1679;P1680;P1688;P1693;P1694;P1695;P1706;P1711;P1713;P1723;P1728;P1741;P1749;P1756;P1767;P1779;P1794;P1795;P1803;P1824;P1833;P1845;P1851;P1857;P1858;P1864;P1866;P1872,SN-D,62,1000 Crore NCIC Bust Location
LOC106,Delhi NCIC Safehouse 1,Delhi,Delhi,India,28.74264373340049,77.05519619583484,OPERATIONAL_BASE,P1009;P1015;P1023;P1026;P1057;P1060;P1068;P1071;P1082;P1083;P1089;P1090;P1092;P1098;P1101;P1104;P1111;P1118;P1135;P1171;P1183;P1218;P1229;P1241;P1266;P1268;P1279;P1285;P1286;P1293;P1295;P1301;P1314;P1322;P1324;P1362;P1369;P1386;P1389;P1407;P1412;P1419;P1441;P1455;P1456;P1457;P1458;P1464;P1469;P1471;P1479;P1488;P1491;P1496;P1500;P1501;P1503;P1516;P1519;P1521;P1529;P1533;P1537;P1550;P1555;P1556;P1561;P1563;P1568;P1575;P1577;P1584;P1588;P1589;P1602;P1604;P1607;P1614;P1616;P1617;P1626;P1642;P1648;P1650;P1654;P1700;P1717;P1726;P1736;P1739;P1759;P1760;P1769;P1775;P1778;P1782;P1787;P1798;P1801;P1805,SN-D,200,1000 Crore NCIC Bust Location
LOC107,Delhi NCIC Safehouse 2,Delhi,Delhi,India,28.69829106451736,77.08186432049364,OPERATIONAL_BASE,P1817;P1821;P1826;P1869,SN-D,8,1000 Crore NCIC Bust Location
LOC108,Patna NCIC Safehouse 1,Patna,Bihar,India,25.558886218568155,85.18679550105003,OPERATIONAL_BASE,P1010;P1020;P1021;P1022;P1027;P1038;P1039;P1051;P1054;P1077;P1086;P1095;P1102;P1106;P1109;P1119;P1121;P1123;P1125;P1127;P1136;P1145;P1148;P1160;P1162;P1182;P1184;P1197;P1199;P1210;P1213;P1220;P1221;P1228;P1233;P1236;P1238;P1240;P1243;P1245;P1246;P1272;P1274;P1281;P1287;P1290;P1304;P1309;P1315;P1320;P1328;P1330;P1333;P1337;P1342;P1349;P1351;P1356;P1361;P1382;P1383;P1416;P1418;P1424;P1452;P1462;P1486;P1494;P1512;P1514;P1517;P1532;P1542;P1543;P1547;P1571;P1572;P1583;P1594;P1598;P1600;P1606;P1618;P1622;P1625;P1652;P1670;P1685;P1687;P1690;P1691;P1712;P1722;P1724;P1727;P1730;P1735;P1743;P1747;P1758,SN-D,200,1000 Crore NCIC Bust Location
LOC109,Patna NCIC Safehouse 2,Patna,Bihar,India,25.631596401252594,85.11033305542936,OPERATIONAL_BASE,P1762;P1765;P1776;P1786;P1789;P1800;P1809;P1810;P1815;P1822;P1823;P1825;P1828;P1829;P1832;P1836;P1849;P1850;P1873,SN-D,38,1000 Crore NCIC Bust Location
LOC110,Bengaluru NCIC Safehouse 1,Bengaluru,Karnataka,India,13.010023895466016,77.55958930359789,OPERATIONAL_BASE,P1016;P1028;P1029;P1037;P1040;P1043;P1046;P1079;P1085;P1110;P1126;P1129;P1132;P1140;P1144;P1147;P1149;P1151;P1163;P1178;P1191;P1193;P1194;P1206;P1207;P1216;P1217;P1232;P1234;P1257;P1271;P1277;P1278;P1280;P1282;P1303;P1308;P1321;P1336;P1341;P1343;P1345;P1350;P1358;P1365;P1373;P1375;P1376;P1380;P1391;P1393;P1398;P1400;P1402;P1409;P1410;P1411;P1413;P1435;P1436;P1449;P1465;P1473;P1474;P1477;P1478;P1481;P1489;P1497;P1498;P1499;P1506;P1515;P1522;P1528;P1530;P1536;P1538;P1540;P1544;P1549;P1557;P1564;P1578;P1581;P1582;P1590;P1603;P1634;P1636;P1637;P1640;P1643;P1644;P1646;P1673;P1678;P1701;P1702;P1703,SN-D,200,1000 Crore NCIC Bust Location
LOC111,Bengaluru NCIC Safehouse 2,Bengaluru,Karnataka,India,12.941176289552509,77.57148887535577,OPERATIONAL_BASE,P1705;P1708;P1715;P1719;P1725;P1729;P1734;P1745;P1755;P1757;P1772;P1783;P1790;P1791;P1792;P1796;P1804;P1808;P1813;P1816;P1819;P1820;P1827;P1830;P1841;P1842;P1847;P1859;P1860;P1863;P1865;P1868,SN-D,64,1000 Crore NCIC Bust Location
LOC112,Jaipur NCIC Safehouse 1,Jaipur,Rajasthan,India,26.86724159413254,75.7696517298708,OPERATIONAL_BASE,P1035;P1042;P1047;P1049;P1052;P1058;P1059;P1073;P1075;P1080;P1094;P1099;P1108;P1116;P1122;P1133;P1134;P1137;P1146;P1153;P1154;P1156;P1158;P1166;P1168;P1170;P1186;P1188;P1190;P1202;P1208;P1209;P1223;P1242;P1247;P1248;P1249;P1259;P1261;P1276;P1288;P1289;P1296;P1299;P1300;P1302;P1307;P1310;P1316;P1325;P1332;P1339;P1344;P1352;P1354;P1364;P1366;P1368;P1374;P1384;P1387;P1414;P1417;P1426;P1433;P1434;P1443;P1447;P1451;P1461;P1482;P1484;P1487;P1492;P1539;P1552;P1562;P1569;P1576;P1579;P1593;P1608;P1609;P1615;P1621;P1623;P1627;P1638;P1639;P1647;P1655;P1658;P1660;P1663;P1665;P1668;P1671;P1683;P1686;P1692,SN-D,200,1000 Crore NCIC Bust Location
LOC113,Jaipur NCIC Safehouse 2,Jaipur,Rajasthan,India,26.950744625287697,75.77741429770433,OPERATIONAL_BASE,P1696;P1714;P1718;P1720;P1738;P1744;P1753;P1761;P1763;P1764;P1766;P1773;P1781;P1785;P1799;P1802;P1806;P1811;P1812;P1834;P1835;P1843;P1852;P1856,SN-D,48,1000 Crore NCIC Bust Location
LOC200,Chennai NCIC 2.0 Base 1,Chennai,Tamil Nadu,India,13.112747499967604,80.31211389440085,OPERATIONAL_BASE,P2001;P2016;P2020;P2022;P2036;P2049;P2052;P2070;P2078;P2104;P2108;P2117;P2142;P2151;P2156;P2161;P2171;P2173;P2194;P2201;P2203;P2218;P2223;P2229;P2232;P2257;P2278;P2287;P2290;P2304;P2319;P2323;P2329;P2330;P2331;P2338;P2339;P2361;P2367;P2370;P2378;P2381;P2462;P2471;P2483;P2488;P2507;P2510;P2511;P2512;P2531;P2535;P2544;P2547;P2568;P2583;P2599;P2610;P2628;P2633;P2677;P2687;P2701;P2712;P2715;P2719;P2732;P2738;P2739;P2742;P2743;P2760;P2762;P2764;P2767;P2778;P2806;P2834;P2842;P2843;P2855;P2858;P2866;P2869;P2886;P2924;P2930;P2933;P2936;P2951;P2960;P2989;P3002;P3010;P3011;P3018;P3029;P3038;P3052;P3058,SN-E,200,NCIC 2.0 Extended Network
LOC201,Chennai NCIC 2.0 Base 2,Chennai,Tamil Nadu,India,13.063014291871854,80.31602680898003,OPERATIONAL_BASE,P3059;P3066;P3072;P3090;P3121;P3123;P3142;P3156;P3190;P3204;P3207;P3215;P3223;P3261;P3272;P3281;P3286;P3288;P3328;P3329;P3333;P3346;P3361;P3375;P3388;P3416;P3434;P3437;P3441;P3443;P3470;P3493;P3503;P3520;P3524;P3525;P3537;P3540;P3551;P3570;P3583;P3599;P3619;P3669;P3690;P3723;P3732;P3735;P3738;P3746;P3756;P3757;P3765;P3776;P3806;P3828;P3852;P3862;P3863;P3888;P3891;P3905;P3906;P3914;P3920;P3925;P3942;P3945;P3947;P3957;P3967;P3971;P3981,SN-E,146,NCIC 2.0 Extended Network
LOC202,Kanpur NCIC 2.0 Base 1,Kanpur,UP,India,26.456722330471383,80.3042719590792,OPERATIONAL_BASE,P2002;P2009;P2031;P2032;P2034;P2042;P2061;P2075;P2089;P2093;P2162;P2167;P2191;P2222;P2226;P2230;P2246;P2267;P2271;P2277;P2293;P2296;P2327;P2340;P2371;P2374;P2387;P2397;P2401;P2403;P2404;P2431;P2446;P2460;P2489;P2499;P2509;P2538;P2540;P2548;P2567;P2579;P2602;P2613;P2614;P2654;P2688;P2697;P2699;P2703;P2711;P2718;P2721;P2735;P2755;P2757;P2771;P2772;P2776;P2780;P2788;P2800;P2811;P2816;P2820;P2831;P2836;P2840;P2852;P2865;P2894;P2897;P2911;P2922;P2939;P2955;P2962;P2982;P3045;P3075;P3088;P3113;P3136;P3144;P3217;P3246;P3254;P3265;P3267;P3299;P3308;P3310;P3311;P3327;P3332;P3341;P3358;P3364;P3366;P3453,SN-E,200,NCIC 2.0 Extended Network
LOC203,Kanpur NCIC 2.0 Base 2,Kanpur,UP,India,26.478485813183095,80.33946777005158,OPERATIONAL_BASE,P3460;P3482;P3505;P3543;P3573;P3579;P3604;P3609;P3639;P3652;P3656;P3664;P3666;P3671;P3719;P3724;P3800;P3809;P3810;P3842;P3850;P3866;P3868;P3870;P3872;P3873;P3885;P3892;P3895;P3909;P3916;P3938;P3960;P3964;P3965;P3966;P3975;P3979;P3993;P3994;P3996;P3998,SN-E,84,NCIC 2.0 Extended Network
