txn_id,txn_date,txn_time,from_account,from_name,to_account,to_name,amount_inr,txn_type,channel,sub_network,flag,notes
TXN202500001,2025-03-15,10:30:00,EXT_001,Complainant 1,A001,NGO Sirmaur,1500000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500002,2025-04-20,11:45:00,EXT_002,Complainant 2,A001,NGO Sirmaur,2500000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500003,2025-05-12,14:20:00,EXT_003,Complainant 3,A001,NGO Sirmaur,1800000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500004,2025-06-05,09:15:00,EXT_004,Complainant 4,A001,NGO Sirmaur,3000000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500005,2025-07-18,16:40:00,EXT_005,Complainant 5,A001,NGO Sirmaur,1200000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500006,2025-08-22,12:10:00,EXT_006,Complainant 6,A001,NGO Sirmaur,2200000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500007,2025-09-09,15:30:00,EXT_007,Complainant 7,A001,NGO Sirmaur,1900000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500008,2025-10-01,10:05:00,EXT_008,Complainant 8,A001,NGO Sirmaur,2800000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500009,2025-10-15,11:50:00,EXT_009,Complainant 9,A001,NGO Sirmaur,1600000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500010,2025-10-28,14:00:00,EXT_010,Complainant 10,A001,NGO Sirmaur,2100000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500011,2025-11-02,13:25:00,EXT_001,Complainant 11,A001,NGO Sirmaur,1400000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500012,2025-11-05,09:40:00,EXT_002,Complainant 12,A001,NGO Sirmaur,1700000,RTGS,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500013,2025-11-08,16:15:00,EXT_003,Complainant 13,A001,NGO Sirmaur,1300000,NEFT,NET_BANKING,SN-A,SUSPICIOUS,NCRP linked
TXN202500014,2025-11-10,10:30:00,A002,Victim,A001,NGO Sirmaur,4000000,RTGS,NET_BANKING,SN-A,HIGH_VALUE,Main victim transfer tranche 1
TXN202500015,2025-11-10,14:45:00,A002,Victim,A001,NGO Sirmaur,3000000,RTGS,NET_BANKING,SN-A,HIGH_VALUE,Main victim transfer tranche 2
